id;title;description;note_date_from;note_date_to;note_type;repeat_type;alert_type;created_by;last_modified_by
1;productivity Rial;Account orange auxiliary;2023-09-15;2023-09-15;LIST;EVERY_WEEK;BEFORE_TWO_DAYS;system;system
2;Industrial drive;e-commerce maroon;2023-09-15;2023-09-16;LIST;EVERY_DAY;BEFORE_ONE_WEEK;system;system
3;blockchains;silver Islands Product;2023-09-16;2023-09-15;LIST;EVERY_WEEK;BEFORE_ONE_HOUR;system;system
4;Intuitive tangible;Human;2023-09-16;2023-09-16;EVENT;EVERY_DAY;BEFORE_ONE_DAY;system;system
5;Focused hacking;Dollar;2023-09-16;2023-09-16;LIST;EVERY_DAY;AT_TIME;system;system
6;Metal Franc Loaf;Gorgeous programming;2023-09-16;2023-09-16;EVENT;EVERY_WEEK;BEFORE_FIVE_MINUTES;system;system
7;Bedfordshire Isle;Croatia human-resource;2023-09-15;2023-09-15;LIST;NONE;BEFORE_ONE_HOUR;system;system
8;orchid matrix quantify;deposit;2023-09-15;2023-09-16;LIST;EVERY_YEAR;BEFORE_FIVE_MINUTES;system;system
9;Books Regional;Engineer;2023-09-16;2023-09-15;EVENT;EVERY_MONTH;BEFORE_ONE_WEEK;system;system
10;Rustic;driver Architect;2023-09-15;2023-09-15;EVENT;EVERY_YEAR;BEFORE_FIFTEEN_MINUTES;system;system
