id;transaction_date;target;amount;created_by;last_modified_by
1;2023-09-16;Alaska Center;22400;system;system
2;2023-09-15;bricks-and-clicks multi-byte;99261;system;system
3;2023-09-15;Borders Analyst;36125;system;system
4;2023-09-16;ROI Product;176;system;system
5;2023-09-16;Granite Georgia;62622;system;system
6;2023-09-15;impactful indigo Inlet;18923;system;system
7;2023-09-16;monitoring;30781;system;system
8;2023-09-15;Malta PNG Account;2703;system;system
9;2023-09-16;grey Health withdrawal;74001;system;system
10;2023-09-15;invoice Pa'anga foreground;27784;system;system
