id;total_amount;description;name;split_type;created_by;last_modified_by
1;47780;Digitized Fresh Avenue;Focused;EQUALLY_DIVIDED;system;system
2;18833;engage;Wooden Dynamic Metrics;EQUALLY_DIVIDED;system;system
3;99949;Response Loan mobile;generate Fish;PERSONAL_DISCOUNT;system;system
4;18836;Tunisia Ford;Handcrafted Fresh grow;PERSONAL_DIVIDED;system;system
5;64571;bus Vermont;Dynamic;EQUALLY_DIVIDED;system;system
6;25228;turn-key holistic;deposit end-to-end;PERSONAL_DIVIDED;system;system
7;28130;Handmade;SQL Towels;PERSONAL_DISCOUNT;system;system
8;71008;Borders JSON Washington;turquoise Arizona redundant;PERSONAL_DIVIDED;system;system
9;43631;Customer Bolivia;Bedfordshire card;PERSONAL_DIVIDED;system;system
10;33508;online Card;Iraq Buckinghamshire Analyst;EQUALLY_DIVIDED;system;system
